s_mouse
Usp1
Chaf1b
Cdc45
Cdca7
Rad51ap1
Clspn
Mcm6
Dscc1
Pold3
Ung
Cdc6
E2f8
Tyms
Nasp
Ccne2
Tipin
Gmnn
Exo1
Casp8ap2
Mcm2
Msh2
Rpa2
Pcna
Fen1
Brip1
Rfc2
Rad51
Wdr76
Ubr7
Blm
Hells
Mcm5
Mcm4
Gins2
Slbp
Prim1
Uhrf1
Dtl
Pola1
Atad2
