g2m_mouse
Birc5
Aurkb
Tpx2
Nek2
Smc4
Cenpe
Psrc1
Cdca3
Hmmr
Ttk
G2e3
Lbr
Ckap2
Gas2l3
Cdc20
Bub1
Anln
Cdca8
Kif20b
Tacc3
Kif2c
Cenpa
Hjurp
Anp32e
Cdca2
Cenpf
Aurka
Ncapd2
Tubb4b
Hmgb2
Nuf2
Mki67
Kif23
Nusap1
Cbx5
Ect2
Cks2
Tmpo
Ube2c
Ccnb2
Ckap5
Dlgap5
Cdk1
Top2a
Kif11
Ctcf
Ckap2l
Gtse1
Cdc25c
Rangap1
Ndc80
