"psuper"	"label_input"	"label_psuper"	"symbol"	"value"	"Pseudotime"	"Labels"
"1"	-4.80334243015404	"E14.5"	"E14.5"	"H19"	1.32709259041271	15.2393173952005	"E14.5"
"2"	-1.11364006398892	"E14.5"	"E16.5"	"H19"	0.668535965970557	14.3153853288386	"E14.5"
"3"	-0.86163783008282	"E14.5"	"E16.5"	"H19"	0.0407435526341542	14.8929366723169	"E14.5"
"4"	-6.72397844037501	"E14.5"	"E14.5"	"H19"	1.19087126631802	14.0005064652141	"E14.5"
"5"	-5.22067943918905	"E14.5"	"E14.5"	"H19"	1.30187498344228	14.0258250197721	"E14.5"
"6"	-4.47772831231792	"E14.5"	"E14.5"	"H19"	1.42241210390886	14.1845417476725	"E14.5"
"7"	-6.07204495655594	"E14.5"	"E14.5"	"H19"	1.0550604070796	14.0819417502498	"E14.5"
"8"	-5.15691296076082	"E14.5"	"E14.5"	"H19"	0.932303875679773	14.08770941892	"E14.5"
"9"	-4.66791709333954	"E14.5"	"E14.5"	"H19"	1.17953974311598	14.0168734856998	"E14.5"
"10"	-3.03861229492452	"E14.5"	"E14.5"	"H19"	1.15287396519995	14.0774115114327	"E14.5"
"11"	-3.6527667647154	"E14.5"	"E14.5"	"H19"	1.61229864583978	14.8010688971262	"E14.5"
"12"	-5.86269211329656	"E14.5"	"E14.5"	"H19"	1.04600241839037	14.0029515052943	"E14.5"
"13"	-3.66414354229321	"E14.5"	"E14.5"	"H19"	1.56633604331162	15.3596487683244	"E14.5"
"14"	-4.49348400346209	"E14.5"	"E14.5"	"H19"	1.65235371663555	14.6454173967359	"E14.5"
"15"	-3.90913491261656	"E14.5"	"E14.5"	"H19"	1.24951389464076	14.0685639970616	"E14.5"
"16"	-5.30888220993103	"E14.5"	"E14.5"	"H19"	1.43029544617068	14.9721010081048	"E14.5"
"17"	-3.88527915936524	"E14.5"	"E14.5"	"H19"	0.684464195487438	14.0006079295504	"E14.5"
