"psuper"	"label_input"	"label_psuper"	"symbol"	"value"	"Pseudotime"	"Labels"
"1"	-5.77854683092368	"E14.5"	"E16.5"	"H19"	0.979014585945662	14.8927596989088	"E14.5"
"2"	-7.32302318044207	"E14.5"	"E14.5"	"H19"	0.693231839943496	14.4333850833355	"E14.5"
"3"	-12.3191221228004	"E14.5"	"E14.5"	"H19"	2.01333959589363	14.0343097958139	"E14.5"
"4"	-5.75800847264684	"E14.5"	"E16.5"	"H19"	1.58724639724138	14.6519254897721	"E14.5"
"5"	-12.3267526703458	"E14.5"	"E14.5"	"H19"	1.34240010520043	14.5483442083932	"E14.5"
"6"	-8.72487593786565	"E14.5"	"E14.5"	"H19"	1.34009312693982	14.0165963931067	"E14.5"
"7"	-10.6135189452974	"E14.5"	"E14.5"	"H19"	1.44267839540438	14.0077018261356	"E14.5"
"8"	-13.3203010168908	"E14.5"	"E14.5"	"H19"	1.2629357369515	14.0089798588579	"E14.5"
"9"	-6.13178546382303	"E14.5"	"E16.5"	"H19"	1.06935907304919	14.1784852808923	"E14.5"
"10"	-6.25441246124486	"E14.5"	"E16.5"	"H19"	0.811244058657503	14.1517133289017	"E14.5"
"11"	-7.73078506928661	"E14.5"	"E14.5"	"H19"	1.38361164813162	14.0434324268717	"E14.5"
"12"	-7.52899144878698	"E14.5"	"E14.5"	"H19"	1.35245008698691	14.1570810384001	"E14.5"
"13"	-8.03761148657966	"E14.5"	"E14.5"	"H19"	1.16725940922183	14.0140304444958	"E14.5"
"14"	-5.53949564712912	"E14.5"	"E16.5"	"H19"	0.950931872064867	14.0090437904364	"E14.5"
"15"	-7.65243792787951	"E14.5"	"E14.5"	"H19"	1.23761662999442	14.0497915722954	"E14.5"
"16"	-6.71371597568839	"E14.5"	"E16.5"	"H19"	1.23303041356112	16.1855296427384	"E14.5"
"17"	-6.56466239280435	"E14.5"	"E16.5"	"H19"	1.46507668597397	14.0094936178448	"E14.5"
"18"	-7.98972723395831	"E14.5"	"E14.5"	"H19"	1.45425924381223	14.0031114672644	"E14.5"
"19"	-9.91741851797577	"E14.5"	"E14.5"	"H19"	1.47914775539206	14.0079934669366	"E14.5"
"20"	-8.93029930309885	"E14.5"	"E14.5"	"H19"	1.8393945550976	14.0171310788082	"E14.5"
"21"	-7.43285834627054	"E14.5"	"E14.5"	"H19"	1.69348677099458	16.3379885535687	"E14.5"
"22"	-6.02977707572627	"E14.5"	"E16.5"	"H19"	1.363772376522	14.2300134554171	"E14.5"
"23"	-12.2402757229739	"E14.5"	"E14.5"	"H19"	1.53593461072079	14.0041591507684	"E14.5"
"24"	-10.3088912162906	"E14.5"	"E14.5"	"H19"	1.38053110789577	14.0386980798176	"E14.5"
"25"	-8.96899152746049	"E14.5"	"E14.5"	"H19"	1.41004858845795	14.1662619079434	"E14.5"
"26"	-10.8542626471043	"E14.5"	"E14.5"	"H19"	1.36641955747556	14.0283243389558	"E14.5"
"27"	-9.60171655045527	"E14.5"	"E14.5"	"H19"	1.1144891042685	15.029955901904	"E14.5"
"28"	-9.24139276094306	"E14.5"	"E14.5"	"H19"	1.50742413462495	14.0039108494275	"E14.5"
"29"	-7.80679657005169	"E14.5"	"E14.5"	"H19"	1.02242667027038	14.5107553510752	"E14.5"
"30"	-10.7766999012438	"E14.5"	"E14.5"	"H19"	1.54877080045609	14.0529699044819	"E14.5"
"31"	-10.4921161713143	"E14.5"	"E14.5"	"H19"	1.69074510305225	14.0133170850804	"E14.5"
"32"	-13.2174031952938	"E14.5"	"E14.5"	"H19"	1.41982909556752	14.0048048765395	"E14.5"
