"psuper"	"label_input"	"label_psuper"	"symbol"	"value"	"Pseudotime"	"Labels"
"1"	-6.86577398119227	"E14.5"	"E14.5"	"H19"	0.798791584001994	14.1028105157893	"E14.5"
"2"	-4.99533081397662	"E14.5"	"E14.5"	"H19"	0.942115550781719	14.9235594205093	"E14.5"
"3"	-5.15681808946731	"E14.5"	"E14.5"	"H19"	1.34381896879668	14.490197381936	"E14.5"
"4"	-4.01580159480968	"E14.5"	"E16.5"	"H19"	3.45429573794758	15.9044403359294	"E14.5"
"5"	-6.70277101141415	"E14.5"	"E14.5"	"H19"	0.62145590741976	14.9304507877678	"E14.5"
"6"	-8.8246708031116	"E14.5"	"E14.5"	"H19"	0.47509481976711	14.0737517428352	"E14.5"
"7"	-5.16715188732881	"E14.5"	"E14.5"	"H19"	0.0909771758139439	14.3735653465264	"E14.5"
"8"	-6.24225832059401	"E14.5"	"E14.5"	"H19"	1.19233718490243	14.07682396975	"E14.5"
"9"	-5.04608076430319	"E14.5"	"E14.5"	"H19"	0.98988122013233	14.0493084764457	"E14.5"
"10"	-6.12963420226428	"E14.5"	"E14.5"	"H19"	2.28962719139342	14.9636554690078	"E14.5"
"11"	-6.18310003872589	"E14.5"	"E14.5"	"H19"	2.11316405719818	14.2946714711215	"E14.5"
"12"	-5.25594330007531	"E14.5"	"E14.5"	"H19"	0.522801581732745	14.2517654858821	"E14.5"
"13"	-4.2200874663936	"E14.5"	"E16.5"	"H19"	1.87591164580757	15.8558894451708	"E14.5"
"14"	-6.99047024482369	"E14.5"	"E14.5"	"H19"	1.38545859706386	15.2373299484607	"E14.5"
"15"	-6.1217430975839	"E14.5"	"E14.5"	"H19"	0.58170770058308	15.7677983613685	"E14.5"
"16"	-4.7607198208893	"E14.5"	"E16.5"	"H19"	1.85663175626204	14.4574387888424	"E14.5"
"17"	-9.77213397916452	"E14.5"	"E14.5"	"H19"	3.12967900434313	14.0537988496944	"E14.5"
"18"	-6.39820649528955	"E14.5"	"E14.5"	"H19"	2.64733399251583	14.3391562981997	"E14.5"
"19"	-5.87035104300863	"E14.5"	"E14.5"	"H19"	1.41476648921387	14.2857515739743	"E14.5"
"20"	-6.31906177066072	"E14.5"	"E14.5"	"H19"	2.74045709785913	14.6220136730408	"E14.5"
"21"	-2.4234771585472	"E14.5"	"E16.5"	"H19"	0.895343202046725	14.2469896613329	"E14.5"
"22"	-3.55778275253987	"E14.5"	"E16.5"	"H19"	0.356456031763941	14.9667184054852	"E14.5"
"23"	-8.13719620923156	"E14.5"	"E14.5"	"H19"	0.098396330711135	14.0100203759939	"E14.5"
"24"	-5.62533447510867	"E14.5"	"E14.5"	"H19"	1.09805167144964	15.7658430540469	"E14.5"
"25"	-3.33522038708474	"E14.5"	"E16.5"	"H19"	-0.217211707869456	14.5636550616473	"E14.5"
"26"	-5.51759275810125	"E14.5"	"E14.5"	"H19"	0.249174897088964	15.9968365440145	"E14.5"
"27"	-6.56725041928032	"E14.5"	"E14.5"	"H19"	2.05276747995752	15.7467977926135	"E14.5"
"28"	-3.59925616673158	"E14.5"	"E16.5"	"H19"	1.34985535596775	16.1932832123712	"E14.5"
"29"	-6.57185700339778	"E14.5"	"E14.5"	"H19"	2.69986337600382	15.4697234673658	"E14.5"
"30"	-4.90535265233651	"E14.5"	"E14.5"	"H19"	2.16380875219177	16.4587938077748	"E14.5"
"31"	-6.59972667156695	"E14.5"	"E14.5"	"H19"	1.33169464554112	14.7862235148787	"E14.5"
"32"	-6.18685275229794	"E14.5"	"E14.5"	"H19"	0.234769568638258	14.7734970536549	"E14.5"
"33"	-2.15849323812085	"E14.5"	"E16.5"	"H19"	0.670727572782442	16.4400911740959	"E14.5"
"34"	-5.82806387626863	"E14.5"	"E14.5"	"H19"	2.52785435251599	14.0473401488853	"E14.5"
"35"	-5.83225939321083	"E14.5"	"E14.5"	"H19"	2.63719042557871	15.0876037972048	"E14.5"
"36"	-1.04791343712673	"E14.5"	"E18.5"	"H19"	-0.818464240526479	14.8967408656608	"E14.5"
"37"	-4.61883366735136	"E14.5"	"E16.5"	"H19"	0.36332442667745	14.1961463480256	"E14.5"
"38"	-3.65174550583029	"E14.5"	"E16.5"	"H19"	0.0862349229921936	16.719302944839	"E14.5"
"39"	-2.18847532172144	"E14.5"	"E16.5"	"H19"	-1.10486188143039	16.1085799206048	"E14.5"
"40"	-3.79670013510825	"E14.5"	"E16.5"	"H19"	0.204800984268674	16.9890148285776	"E14.5"
"41"	-6.60910660464503	"E14.5"	"E14.5"	"H19"	2.20819786517731	14.0733296379913	"E14.5"
"42"	-4.38990141479351	"E14.5"	"E16.5"	"H19"	1.09402631385214	17.1300622075796	"E14.5"
"43"	-4.45001486646497	"E14.5"	"E16.5"	"H19"	0.231106205752771	14.6596001277794	"E14.5"
"44"	-5.57984502445939	"E14.5"	"E14.5"	"H19"	-0.518460424313637	16.8465495212004	"E14.5"
"45"	-2.75164158298407	"E14.5"	"E16.5"	"H19"	-0.210710563240888	15.7265377102885	"E14.5"
"46"	-3.56983105566209	"E14.5"	"E16.5"	"H19"	1.18966807171013	16.172688068822	"E14.5"
"47"	-2.48214083606322	"E14.5"	"E16.5"	"H19"	0.150664750719223	15.3000158146024	"E14.5"
"48"	-4.6677599143197	"E14.5"	"E16.5"	"H19"	1.48803161167166	16.0253188614734	"E14.5"
"49"	-3.28011035996475	"E14.5"	"E16.5"	"H19"	0.951847075007177	15.1410687696189	"E14.5"
"50"	-4.84402091279935	"E14.5"	"E14.5"	"H19"	1.1837277138013	16.7611176334321	"E14.5"
"51"	-3.75025379327367	"E14.5"	"E16.5"	"H19"	1.77279131793323	14.8242621961981	"E14.5"
"52"	-5.21774102164829	"E14.5"	"E14.5"	"H19"	0.981544294756771	15.3038756888127	"E14.5"
"53"	-2.68880474395982	"E14.5"	"E16.5"	"H19"	0.571224247550512	17.5940707884729	"E14.5"
"54"	-3.24452006208979	"E14.5"	"E16.5"	"H19"	2.12214499193339	14.5191900637001	"E14.5"
"55"	-6.37874701802942	"E14.5"	"E14.5"	"H19"	1.75232291968085	14.1304509885376	"E14.5"
"56"	-5.14982108938533	"E14.5"	"E14.5"	"H19"	-0.163993992875268	16.1030774158426	"E14.5"
"57"	-6.43521289768338	"E14.5"	"E14.5"	"H19"	2.34610350569316	16.4288882482797	"E14.5"
"58"	-3.1447837884698	"E14.5"	"E16.5"	"H19"	1.10898043913986	16.0741167198867	"E14.5"
"59"	-2.5615118331883	"E14.5"	"E16.5"	"H19"	1.02838405147033	16.9125407673419	"E14.5"
"60"	-5.10641842010938	"E14.5"	"E14.5"	"H19"	1.07308951663141	16.5262580774724	"E14.5"
"61"	-5.207779003285	"E14.5"	"E14.5"	"H19"	0.546690177386299	14.0305641517334	"E14.5"
"62"	-3.23394802951132	"E14.5"	"E16.5"	"H19"	0.595020821198549	18.6281730532646	"E14.5"
"63"	-7.20795265305456	"E14.5"	"E14.5"	"H19"	0.789893377066289	14.054249623674	"E14.5"
"64"	-7.42028589016299	"E14.5"	"E14.5"	"H19"	1.61243145904126	14.2619740703376	"E14.5"
"65"	-4.29803347942686	"E14.5"	"E16.5"	"H19"	0.92524368362143	15.3085558107123	"E14.5"
"66"	-6.95032609322677	"E14.5"	"E14.5"	"H19"	2.74424339175786	14.8034184761345	"E14.5"
"67"	-9.60105823321966	"E14.5"	"E14.5"	"H19"	2.06971833990179	14.2401013611816	"E14.5"
"68"	-6.6632735639588	"E14.5"	"E14.5"	"H19"	2.97497781151485	14.0179987241281	"E14.5"
"69"	-5.20028420745557	"E14.5"	"E14.5"	"H19"	0.352145429359622	14.2120461960585	"E14.5"
"70"	-4.88054197909789	"E14.5"	"E14.5"	"H19"	1.60509431960666	14.0435521348481	"E14.5"
"71"	-6.14072017792056	"E14.5"	"E14.5"	"H19"	1.90421802271494	14.4693243945949	"E14.5"
"72"	-6.05246532442697	"E14.5"	"E14.5"	"H19"	0.993952574159503	14.0522122096736	"E14.5"
"73"	-8.29224609056984	"E14.5"	"E14.5"	"H19"	0.441582844430766	14.078578028304	"E14.5"
"74"	-8.63493221530048	"E14.5"	"E14.5"	"H19"	1.34249062845296	15.2026794441044	"E14.5"
"75"	-7.00433092364479	"E14.5"	"E14.5"	"H19"	1.02578471027164	14.6614691282157	"E14.5"
"76"	-8.29933291957895	"E14.5"	"E14.5"	"H19"	2.28674687680653	14.1607476412319	"E14.5"
"77"	-4.67166232247688	"E14.5"	"E16.5"	"H19"	1.09468971662493	14.3423233986832	"E14.5"
"78"	-3.76094497527024	"E14.5"	"E16.5"	"H19"	0.878854354957659	16.9237956274301	"E14.5"
"79"	-6.71188251936043	"E14.5"	"E14.5"	"H19"	1.40544759808327	16.8110824562609	"E14.5"
"80"	-5.94756057990151	"E14.5"	"E14.5"	"H19"	0.600312985700565	15.5179740008898	"E14.5"
"81"	-6.00359966426329	"E14.5"	"E14.5"	"H19"	1.15245264072541	16.3174411170185	"E14.5"
"82"	-5.80115509985531	"E14.5"	"E14.5"	"H19"	1.42936899745069	14.0212308396949	"E14.5"
"83"	-5.56926916543581	"E14.5"	"E14.5"	"H19"	0.774958834138448	15.4825996635482	"E14.5"
"84"	-9.28789095627302	"E14.5"	"E14.5"	"H19"	0.554779185084237	16.0370397185907	"E14.5"
"85"	-7.22321611108456	"E14.5"	"E14.5"	"H19"	1.45098132947372	15.2915866989642	"E14.5"
"86"	-3.39859962079317	"E14.5"	"E16.5"	"H19"	1.07461899253356	18.0820153784007	"E14.5"
"87"	-7.81992433436363	"E14.5"	"E14.5"	"H19"	3.14634435688061	14.0388678285963	"E14.5"
"88"	-6.45896614667235	"E14.5"	"E14.5"	"H19"	0.769080621458248	14.0100483265342	"E14.5"
"89"	-4.09702842550931	"E14.5"	"E16.5"	"H19"	1.09594461705135	14.1465837203868	"E14.5"
"90"	-5.2117987511927	"E14.5"	"E14.5"	"H19"	0.522051367378406	14.1443412337685	"E14.5"
"91"	-6.3690041977937	"E14.5"	"E14.5"	"H19"	-0.931338454368494	14.2616548417136	"E14.5"
"92"	-7.33074143069192	"E14.5"	"E14.5"	"H19"	0.473773139725481	14.074958096433	"E14.5"
"93"	-7.52350360743517	"E14.5"	"E14.5"	"H19"	1.51231078421208	14.034710420121	"E14.5"
"94"	-6.38062458751824	"E14.5"	"E14.5"	"H19"	1.40015637535505	16.4508946761489	"E14.5"
"95"	-7.46919918662329	"E14.5"	"E14.5"	"H19"	2.51130583988154	18.7595163285732	"E14.5"
"96"	-5.70975440699698	"E14.5"	"E14.5"	"H19"	1.70243447977466	14.1733220996102	"E14.5"
"97"	-3.93140371613997	"E14.5"	"E16.5"	"H19"	1.52827739664845	15.3588937856257	"E14.5"
"98"	-5.44324243989627	"E14.5"	"E14.5"	"H19"	2.15099427061579	14.0148016280436	"E14.5"
"99"	-3.46669396485884	"E14.5"	"E16.5"	"H19"	2.40092152770707	14.9734421768226	"E14.5"
"100"	-6.2524514972532	"E14.5"	"E14.5"	"H19"	0.803606645822346	14.0066431626146	"E14.5"
"101"	-5.7215044355434	"E14.5"	"E14.5"	"H19"	1.60840561443428	14.0636989188206	"E14.5"
"102"	-3.75177239708508	"E14.5"	"E16.5"	"H19"	0.816011900023064	16.1378463404253	"E14.5"
"103"	-4.03726349693664	"E14.5"	"E16.5"	"H19"	-0.0505608795591477	16.4343879958615	"E14.5"
"104"	-5.94510833869078	"E14.5"	"E14.5"	"H19"	1.45413793573565	14.9979371763766	"E14.5"
